Node,SIR
0,0.757
1,0.742
2,0.758
3,0.757
4,0.759
5,0.759
6,0.757
7,0.758
8,0.757
9,0.76
10,0.759
11,0.758
12,0.758
13,0.758
14,0.758
15,0.759
16,0.758
17,0.729
18,0.758
19,0.759
20,0.757
21,0.758
22,0.757
23,0.759
24,0.759
25,0.76
26,0.758
27,0.758
28,0.759
29,0.744
30,0.757
31,0.751
32,0.72
33,0.759
34,0.758
35,0.761
36,0.757
37,0.758
38,0.759
39,0.721
40,0.755
41,0.539
42,0.759
43,0.758
44,0.758
45,0.742
46,0.758
47,0.758
48,0.576
49,0.759
50,0.75
51,0.76
52,0.741
53,0.736
54,0.742
55,0.758
56,0.629
57,0.758
58,0.758
59,0.75
60,0.756
61,0.759
62,0.734
63,0.711
64,0.759
65,0.737
66,0.757
67,0.758
68,0.742
69,0.727
70,0.756
71,0.697
72,0.759
73,0.758
74,0.735
75,0.758
76,0.735
77,0.757
78,0.759
79,0.621
80,0.744
81,0.758
82,0.743
83,0.76
84,0.728
85,0.74
86,0.758
87,0.691
88,0.742
89,0.757
90,0.682
91,0.711
92,0.757
93,0.759
94,0.751
95,0.726
96,0.639
97,0.735
98,0.743
99,0.744
100,0.523
101,0.757
102,0.615
103,0.744
104,0.758
105,0.745
106,0.652
107,0.759
108,0.756
109,0.75
110,0.721
111,0.743
112,0.667
113,0.751
114,0.75
115,0.734
116,0.759
117,0.751
118,0.759
119,0.681
120,0.736
121,0.751
122,0.741
123,0.695
124,0.753
125,0.736
126,0.759
127,0.735
128,0.72
129,0.75
130,0.676
131,0.728
132,0.744
133,0.755
134,0.675
135,0.6
136,0.75
137,0.629
138,0.575
139,0.63
140,0.759
141,0.66
142,0.759
143,0.757
144,0.745
145,0.757
146,0.758
147,0.758
148,0.759
149,0.683
150,0.608
151,0.713
152,0.758
153,0.583
154,0.727
155,0.681
156,0.744
157,0.751
158,0.736
159,0.75
160,0.644
161,0.699
162,0.589
163,0.705
164,0.636
165,0.706
166,0.524
167,0.713
168,0.751
169,0.752
170,0.758
171,0.759
172,0.729
173,0.667
174,0.758
175,0.759
176,0.698
177,0.654
178,0.616
179,0.729
180,0.75
181,0.751
182,0.597
183,0.523
184,0.736
185,0.727
186,0.637
187,0.674
188,0.681
189,0.697
190,0.75
191,0.646
192,0.751
193,0.757
194,0.622
195,0.699
196,0.745
197,0.577
198,0.754
199,0.607
200,0.714
201,0.758
202,0.553
203,0.758
204,0.743
205,0.714
206,0.733
207,0.5
208,0.487
209,0.743
210,0.75
211,0.727
212,0.743
213,0.645
214,0.574
215,0.757
216,0.577
217,0.622
218,0.751
219,0.734
220,0.75
221,0.76
222,0.668
223,0.592
224,0.736
225,0.736
226,0.608
227,0.673
228,0.752
229,0.631
230,0.675
231,0.757
232,0.698
233,0.75
234,0.606
235,0.613
236,0.646
237,0.76
238,0.751
239,0.682
240,0.578
241,0.586
242,0.76
243,0.562
244,0.719
245,0.758
246,0.546
247,0.561
248,0.757
249,0.667
250,0.574
251,0.666
252,0.736
253,0.758
254,0.531
255,0.756
256,0.743
257,0.659
258,0.646
259,0.681
260,0.684
261,0.6
262,0.712
263,0.562
264,0.757
265,0.726
266,0.748
267,0.697
268,0.637
269,0.628
270,0.729
271,0.691
272,0.726
273,0.75
274,0.728
275,0.711
276,0.757
277,0.743
278,0.524
279,0.728
280,0.759
281,0.699
282,0.689
283,0.745
284,0.677
285,0.757
286,0.758
287,0.591
288,0.734
289,0.757
290,0.74
291,0.615
292,0.697
293,0.477
294,0.729
295,0.758
296,0.652
297,0.575
298,0.583
299,0.728
300,0.722
301,0.69
302,0.734
303,0.76
304,0.751
305,0.735
306,0.75
307,0.621
308,0.76
309,0.72
310,0.728
311,0.515
312,0.606
313,0.653
314,0.569
