Node,SIR
0,0.51
1,0.471
2,0.461
3,0.509
4,0.486
5,0.507
6,0.43
7,0.497
8,0.511
9,0.494
10,0.507
11,0.505
12,0.471
13,0.505
14,0.496
15,0.501
16,0.507
17,0.362
18,0.511
19,0.42
20,0.507
21,0.508
22,0.495
23,0.511
24,0.499
25,0.477
26,0.448
27,0.507
28,0.512
29,0.469
30,0.502
31,0.461
32,0.384
33,0.477
34,0.494
35,0.472
36,0.49
37,0.433
38,0.484
39,0.392
40,0.483
41,0.273
42,0.491
43,0.507
44,0.504
45,0.476
46,0.482
47,0.494
48,0.3
49,0.469
50,0.482
51,0.502
52,0.402
53,0.459
54,0.438
55,0.444
56,0.319
57,0.501
58,0.417
59,0.458
60,0.494
61,0.492
62,0.434
63,0.388
64,0.457
65,0.344
66,0.509
67,0.476
68,0.432
69,0.405
70,0.48
71,0.389
72,0.507
73,0.494
74,0.426
75,0.433
76,0.405
77,0.501
78,0.41
79,0.303
80,0.426
81,0.465
82,0.373
83,0.471
84,0.399
85,0.413
86,0.488
87,0.335
88,0.427
89,0.487
90,0.345
91,0.33
92,0.46
93,0.47
94,0.413
95,0.403
96,0.324
97,0.429
98,0.477
99,0.413
100,0.212
101,0.441
102,0.322
103,0.427
104,0.472
105,0.469
106,0.355
107,0.482
108,0.451
109,0.481
110,0.405
111,0.469
112,0.399
113,0.443
114,0.47
115,0.352
116,0.457
117,0.471
118,0.507
119,0.333
120,0.422
121,0.4
122,0.459
123,0.35
124,0.454
125,0.433
126,0.478
127,0.436
128,0.326
129,0.418
130,0.334
131,0.335
132,0.417
133,0.506
134,0.285
135,0.309
136,0.393
137,0.286
138,0.246
139,0.281
140,0.506
141,0.316
142,0.473
143,0.509
144,0.436
145,0.49
146,0.487
147,0.445
148,0.499
149,0.374
150,0.253
151,0.394
152,0.489
153,0.323
154,0.388
155,0.384
156,0.341
157,0.467
158,0.397
159,0.421
160,0.283
161,0.391
162,0.259
163,0.372
164,0.299
165,0.448
166,0.294
167,0.376
168,0.434
169,0.446
170,0.439
171,0.451
172,0.357
173,0.331
174,0.468
175,0.458
176,0.328
177,0.315
178,0.275
179,0.382
180,0.368
181,0.418
182,0.304
183,0.269
184,0.432
185,0.429
186,0.35
187,0.378
188,0.321
189,0.311
190,0.421
191,0.347
192,0.419
193,0.475
194,0.312
195,0.323
196,0.43
197,0.291
198,0.448
199,0.321
200,0.402
201,0.507
202,0.275
203,0.437
204,0.376
205,0.41
206,0.391
207,0.245
208,0.275
209,0.424
210,0.401
211,0.421
212,0.393
213,0.3
214,0.235
215,0.399
216,0.292
217,0.305
218,0.432
219,0.412
220,0.381
221,0.432
222,0.292
223,0.291
224,0.412
225,0.337
226,0.318
227,0.377
228,0.452
229,0.307
230,0.336
231,0.433
232,0.351
233,0.439
234,0.289
235,0.329
236,0.325
237,0.464
238,0.422
239,0.316
240,0.265
241,0.347
242,0.426
243,0.279
244,0.376
245,0.478
246,0.276
247,0.273
248,0.488
249,0.285
250,0.291
251,0.346
252,0.347
253,0.406
254,0.24
255,0.442
256,0.353
257,0.32
258,0.34
259,0.3
260,0.405
261,0.324
262,0.366
263,0.283
264,0.399
265,0.452
266,0.476
267,0.34
268,0.255
269,0.341
270,0.365
271,0.339
272,0.382
273,0.382
274,0.352
275,0.34
276,0.418
277,0.412
278,0.322
279,0.376
280,0.418
281,0.29
282,0.336
283,0.384
284,0.302
285,0.457
286,0.442
287,0.286
288,0.422
289,0.423
290,0.413
291,0.266
292,0.321
293,0.262
294,0.366
295,0.44
296,0.331
297,0.33
298,0.305
299,0.355
300,0.357
301,0.364
302,0.357
303,0.478
304,0.401
305,0.356
306,0.408
307,0.355
308,0.418
309,0.324
310,0.397
311,0.321
312,0.31
313,0.342
314,0.284
