Node,SIR,Infected_sum,Normalized_SIR
0,0.004466,0,0.23752982300393946
1,0.018208,0,1.0
2,0.008678,0,0.47123120457193596
3,0.017141,0,0.940797869389114
4,0.010252,0,0.5585640570382291
5,0.014736,0,0.8073572657160297
6,0.016278,0,0.8929146091105811
7,0.017422,0,0.9563890584253455
8,0.008107,0,0.4395494645730456
9,0.00722,0,0.39033457249070636
10,0.00945,0,0.5140653609277036
11,0.00828,0,0.449148310492149
12,0.006096,0,0.32796981634578043
13,0.004569,0,0.24324474282860792
14,0.005097,0,0.27254064251234533
15,0.006937,0,0.374632414137491
16,0.00588,0,0.3159851301115242
17,0.005831,0,0.3132663818454198
18,0.007718,0,0.417965932419686
19,0.004831,0,0.2577817233534928
20,0.004331,0,0.23003939410752927
21,0.006685,0,0.36065028019752543
22,0.006255,0,0.33679187704599683
23,0.004068,0,0.2154469289241525
24,0.006045,0,0.3251400987626922
25,0.006814,0,0.367807801142984
26,0.007362,0,0.39821339399656
27,0.009324,0,0.5070742939577209
28,0.006877,0,0.37130333462797543
29,0.005927,0,0.31859290906064475
30,0.005478,0,0.2936802973977696
31,0.004408,0,0.23431171281140764
32,0.006517,0,0.3513288575708817
33,0.004374,0,0.23242523442268218
34,0.005581,0,0.299395217222438
35,0.003921,0,0.20729068412583926
36,0.006116,0,0.329079509515619
37,0.007278,0,0.3935526826832381
38,0.006411,0,0.3454474837707374
39,0.007473,0,0.4043721910891639
40,0.006545,0,0.3528824280086556
41,0.004673,0,0.24901514731176833
42,0.002183,0,0.11085834766687014
43,0.002907,0,0.15102924041502527
44,0.002969,0,0.15446928924152475
45,0.006683,0,0.36053931088054153
46,0.007119,0,0.38473062198302177
47,0.001653,0,0.08145147866614881
48,0.002776,0,0.14376075015258283
49,0.004628,0,0.2465183376796316
50,0.004959,0,0.2648837596404594
51,0.005138,0,0.27481551351051436
52,0.006083,0,0.3272485157853854
53,0.004284,0,0.2274316151584087
54,0.002129,0,0.10786217610830606
55,0.00336,0,0.17616379071186822
56,0.004063,0,0.21516950563169288
57,0.006839,0,0.36919491760528217
58,0.004139,0,0.21938633967707932
59,0.003052,0,0.15907451589635468
60,0.003238,0,0.1693946623758531
61,0.003385,0,0.17755090717416638
62,0.002444,0,0.12533984353326308
63,0.005942,0,0.3194251789380237
64,0.002873,0,0.14914276202629975
65,0.003293,0,0.1724463185929091
66,0.00539,0,0.28879764745048
67,0.002885,0,0.14980857792820287
68,0.001781,0,0.08855351495311548
69,0.002148,0,0.1089163846196527
70,0.005602,0,0.3005603950507685
71,0.003831,0,0.20229706486156582
72,0.004339,0,0.2304832713754647
73,0.005359,0,0.2870776230372302
74,0.003888,0,0.20545969039560566
75,0.001899,0,0.09510070465516286
76,0.003027,0,0.15768739943405652
77,0.002161,0,0.10963768518004775
78,0.005049,0,0.26987737890473285
79,0.002987,0,0.15546801309437944
80,0.006485,0,0.34955334849914005
81,0.002895,0,0.15036342451312215
82,0.002221,0,0.11296676468956335
83,0.00379,0,0.2000221938633968
84,0.003807,0,0.20096543305775957
85,0.00258,0,0.13288575708816514
86,0.003843,0,0.20296288076346894
87,0.002139,0,0.10841702269322534
88,0.00198,0,0.09959496199300895
89,0.006413,0,0.3455584530877213
90,0.003616,0,0.1903678632858015
91,0.002152,0,0.10913832325362038
92,0.004435,0,0.23580979859068968
93,0.003157,0,0.16490040503800704
94,0.002044,0,0.10314598013649226
95,0.004601,0,0.24502025190034957
96,0.003306,0,0.17316761915330414
97,0.001512,0,0.07362814181878712
98,0.001523,0,0.07423847306219832
99,0.003858,0,0.20379515064084783
100,0.003387,0,0.17766187649115023
101,0.004756,0,0.25362037396659826
102,0.006395,0,0.34455972923486655
103,0.003008,0,0.1566331909227099
104,0.003671,0,0.1934195195028575
105,0.002516,0,0.12933473894468184
106,0.002173,0,0.11030350108195086
107,0.003753,0,0.1979692614991955
108,0.002736,0,0.14154136381290577
109,0.004285,0,0.22748709981690063
110,0.001947,0,0.09776396826277535
111,0.003297,0,0.17266825722687681
112,0.003454,0,0.18137934861010935
113,0.001715,0,0.08489152749264829
114,0.002455,0,0.12595017477667428
115,0.005474,0,0.29345835876380183
116,0.001937,0,0.09720912167785609
117,0.00517,0,0.27659102258225604
118,0.002304,0,0.1175719913443933
119,0.00202,0,0.10181434833268603
120,0.002373,0,0.12140043278033627
121,0.002788,0,0.14442656605448598
122,0.002972,0,0.15463574321700052
123,0.004378,0,0.23264717305664986
124,0.003463,0,0.18187871053653668
125,0.001471,0,0.07135327082061811
