Node,SIR
0,0.757
1,0.757
2,0.757
3,0.758
4,0.742
5,0.757
6,0.757
7,0.76
8,0.758
9,0.759
10,0.756
11,0.757
12,0.758
13,0.758
14,0.759
15,0.755
16,0.758
17,0.757
18,0.757
19,0.757
20,0.759
21,0.757
22,0.756
23,0.757
24,0.758
25,0.757
26,0.757
27,0.757
28,0.758
29,0.758
30,0.712
31,0.758
32,0.749
33,0.758
34,0.758
35,0.757
36,0.757
37,0.757
38,0.758
39,0.758
40,0.757
41,0.759
42,0.757
43,0.758
44,0.758
45,0.758
46,0.758
47,0.736
48,0.75
49,0.75
50,0.759
51,0.757
52,0.749
53,0.758
54,0.758
55,0.756
56,0.757
57,0.719
58,0.758
59,0.554
60,0.757
61,0.758
62,0.758
63,0.727
64,0.757
65,0.758
66,0.756
67,0.756
68,0.727
69,0.756
70,0.576
71,0.749
72,0.757
73,0.756
74,0.759
75,0.757
76,0.727
77,0.704
78,0.636
79,0.756
80,0.757
81,0.756
82,0.568
83,0.735
84,0.758
85,0.759
86,0.757
87,0.757
88,0.688
89,0.759
90,0.76
91,0.758
92,0.721
93,0.757
94,0.757
95,0.756
96,0.568
97,0.515
98,0.757
99,0.758
100,0.759
101,0.758
102,0.735
103,0.689
104,0.759
105,0.711
106,0.757
107,0.742
108,0.759
109,0.757
110,0.75
111,0.757
112,0.636
113,0.757
114,0.75
115,0.681
116,0.75
117,0.652
118,0.711
119,0.743
120,0.742
121,0.757
122,0.757
123,0.659
124,0.758
125,0.757
126,0.757
127,0.758
128,0.759
129,0.675
130,0.742
131,0.757
132,0.508
133,0.757
134,0.758
135,0.713
136,0.757
137,0.758
138,0.757
139,0.757
140,0.727
141,0.659
142,0.757
143,0.689
144,0.705
145,0.75
146,0.674
147,0.741
148,0.591
149,0.758
150,0.704
151,0.757
152,0.756
153,0.742
154,0.758
155,0.735
156,0.758
157,0.674
158,0.749
159,0.691
160,0.757
161,0.72
162,0.727
163,0.757
164,0.757
165,0.72
166,0.758
167,0.758
168,0.728
169,0.758
170,0.758
171,0.749
172,0.757
173,0.757
174,0.613
175,0.749
176,0.756
177,0.683
178,0.743
179,0.758
180,0.697
181,0.728
182,0.689
183,0.758
184,0.75
185,0.508
186,0.69
187,0.705
188,0.758
189,0.749
190,0.758
191,0.705
192,0.758
193,0.756
194,0.75
195,0.757
196,0.735
197,0.756
198,0.72
199,0.758
200,0.758
201,0.711
202,0.757
203,0.721
204,0.755
205,0.644
206,0.757
207,0.757
208,0.736
209,0.698
210,0.673
211,0.72
212,0.711
213,0.628
214,0.711
215,0.545
216,0.756
217,0.759
218,0.621
219,0.757
220,0.735
221,0.757
222,0.704
223,0.758
224,0.735
225,0.757
226,0.758
227,0.743
228,0.674
229,0.756
230,0.757
231,0.614
232,0.752
233,0.757
234,0.757
235,0.688
236,0.705
237,0.704
238,0.757
239,0.758
240,0.561
241,0.757
242,0.653
243,0.758
244,0.749
245,0.628
246,0.606
247,0.598
248,0.644
249,0.697
250,0.751
251,0.681
252,0.757
253,0.741
254,0.689
255,0.749
256,0.758
257,0.735
258,0.758
259,0.749
260,0.726
261,0.751
262,0.757
263,0.735
264,0.644
265,0.507
266,0.735
267,0.735
268,0.606
269,0.75
270,0.744
271,0.758
272,0.598
273,0.719
274,0.751
275,0.758
276,0.734
277,0.726
278,0.75
279,0.735
