Node,SIR,Infected_sum,Normalized_SIR
0,0.126689,0,0.6709657408712815
1,0.154376,0,0.8271027773861555
2,0.102803,0,0.5362639221767941
3,0.181808,0,0.9818017763992668
4,0.182616,0,0.9863583815028901
5,0.184488,0,0.9969152685746511
6,0.128846,0,0.683129846327365
7,0.121653,0,0.6425659100521641
8,0.1537,0,0.8232905681657973
9,0.171749,0,0.9250754264768082
10,0.146706,0,0.7838488650782461
11,0.185035,0,1.0
12,0.15433,0,0.8268433666995629
13,0.114732,0,0.6035358804455097
14,0.067394,0,0.33657972649090645
15,0.131288,0,0.696901170167771
16,0.092533,0,0.47834766671366136
17,0.099273,0,0.5163569716622022
18,0.077564,0,0.39393204567883827
19,0.066389,0,0.3309121669251375
20,0.175467,0,0.9460425771887777
21,0.133505,0,0.709403637388975
22,0.086989,0,0.4470830396165233
23,0.062797,0,0.31065557591992105
24,0.080556,0,0.41080501903284933
25,0.088101,0,0.4533540109967574
26,0.079482,0,0.40474834343719157
27,0.098312,0,0.5109375440575215
28,0.073733,0,0.37232764697589177
29,0.086888,0,0.44651346397857045
30,0.122806,0,0.6490680953052305
31,0.078861,0,0.401246299168194
32,0.116423,0,0.613072042859157
33,0.10157,0,0.5293105879035669
34,0.116415,0,0.6130269279571409
35,0.073865,0,0.3730720428591569
36,0.062505,0,0.3090088819963344
37,0.06648,0,0.33142534893557024
38,0.106979,0,0.5598139010291837
39,0.07341,0,0.37050613280699285
40,0.089284,0,0.46002537713238406
41,0.0606,0,0.2982658959537572
42,0.0908,0,0.46857465106442975
43,0.089549,0,0.46151980826166644
44,0.11963,0,0.6311574792048499
45,0.050519,0,0.24141548005075425
46,0.064522,0,0.32038347666713657
47,0.132855,0,0.7057380516001692
48,0.075912,0,0.38461581841251935
49,0.068575,0,0.34323981390102914
50,0.058618,0,0.2870886789792753
51,0.056289,0,0.2739546031298463
52,0.068781,0,0.344401522627943
53,0.067564,0,0.337538418158748
54,0.111959,0,0.5878979275341887
55,0.070044,0,0.35152403778373037
56,0.102511,0,0.5346172282532075
57,0.109533,0,0.5742168334978148
58,0.076211,0,0.3863019878753701
59,0.034371,0,0.15035105033131255
60,0.095485,0,0.494995065557592
61,0.07592,0,0.3846609333145355
62,0.092632,0,0.47890596362611026
63,0.073398,0,0.3704384604539687
64,0.083689,0,0.42847314253489355
65,0.092778,0,0.4797293105879036
66,0.090316,0,0.46584519949245734
67,0.115695,0,0.6089665867756944
68,0.06702,0,0.3344706048216551
69,0.093755,0,0.4852389679966164
70,0.055594,0,0.2700352460172
71,0.059319,0,0.29104187226843364
72,0.042739,0,0.19754123784012403
73,0.058428,0,0.2860172000563936
74,0.096749,0,0.5021232200761314
75,0.047749,0,0.22579444522768924
76,0.080085,0,0.40814887917665305
77,0.056513,0,0.27521782038629633
78,0.050257,0,0.2399379670097279
79,0.073923,0,0.37339912589877344
80,0.074814,0,0.3784237981108135
81,0.110968,0,0.5823093190469477
82,0.066679,0,0.33254758212322005
83,0.07787,0,0.395657690680953
84,0.056203,0,0.27346961793317354
85,0.075826,0,0.3841308332158466
86,0.050338,0,0.2403947553926406
87,0.075699,0,0.38341463414634147
88,0.088686,0,0.4566530382066826
89,0.069241,0,0.34699562949386714
90,0.051442,0,0.24662061187085857
91,0.09589,0,0.49727900747215564
92,0.055583,0,0.26997321302692795
93,0.061896,0,0.3055745100803609
94,0.081202,0,0.4144480473706471
95,0.065239,0,0.32442689976032707
96,0.062311,0,0.30791484562244464
97,0.046762,0,0.22022839419145634
98,0.043887,0,0.20401522627943042
99,0.070547,0,0.354360637247991
100,0.069481,0,0.3483490765543493
101,0.056832,0,0.2770167771041872
102,0.059881,0,0.2942111941350627
103,0.036851,0,0.16433666995629492
104,0.052708,0,0.25376004511490197
105,0.057813,0,0.2825489919639081
106,0.081829,0,0.4179839278161568
107,0.067578,0,0.33761736923727614
108,0.057823,0,0.2826053855914281
109,0.067578,0,0.33761736923727614
110,0.027555,0,0.11191315381361906
111,0.075337,0,0.38137318483011423
112,0.083852,0,0.42939235866347103
113,0.055311,0,0.2684393063583815
114,0.090058,0,0.46439024390243905
115,0.072418,0,0.36491188495699983
116,0.074171,0,0.3747976878612717
117,0.062232,0,0.30746933596503595
118,0.044083,0,0.20512054137882416
119,0.066954,0,0.3340984068800225
120,0.059594,0,0.2925926970252361
