Node,SIR
0,0.621
1,0.59
2,0.617
3,0.615
4,0.615
5,0.564
6,0.619
7,0.619
8,0.618
9,0.618
10,0.605
11,0.618
12,0.618
13,0.618
14,0.618
15,0.61
16,0.616
17,0.618
18,0.616
19,0.615
20,0.617
21,0.603
22,0.613
23,0.617
24,0.618
25,0.616
26,0.459
27,0.617
28,0.617
29,0.619
30,0.613
31,0.62
32,0.615
33,0.591
34,0.616
35,0.618
36,0.613
37,0.611
38,0.599
39,0.618
40,0.611
41,0.56
42,0.61
43,0.581
44,0.594
45,0.619
46,0.594
47,0.573
48,0.591
49,0.614
50,0.618
51,0.615
52,0.611
53,0.598
54,0.61
55,0.576
56,0.62
57,0.61
58,0.563
59,0.604
60,0.56
61,0.603
62,0.59
63,0.599
64,0.609
65,0.553
66,0.445
67,0.611
68,0.607
69,0.587
70,0.594
71,0.602
72,0.591
73,0.605
74,0.607
75,0.475
76,0.61
77,0.609
78,0.603
79,0.574
80,0.556
81,0.574
82,0.61
83,0.566
84,0.555
85,0.618
86,0.58
87,0.553
88,0.569
89,0.579
90,0.562
91,0.605
92,0.612
93,0.466
94,0.584
95,0.538
96,0.557
97,0.567
98,0.58
99,0.519
100,0.586
101,0.579
102,0.538
103,0.594
104,0.469
105,0.576
106,0.488
107,0.549
108,0.562
109,0.527
110,0.569
111,0.598
112,0.537
113,0.576
114,0.616
115,0.533
116,0.518
117,0.587
118,0.463
119,0.501
120,0.567
121,0.558
122,0.607
123,0.593
124,0.602
125,0.601
126,0.525
127,0.57
128,0.53
129,0.561
130,0.471
131,0.573
132,0.556
133,0.501
134,0.462
135,0.536
136,0.371
137,0.593
138,0.531
139,0.597
140,0.506
141,0.539
142,0.524
143,0.538
144,0.588
145,0.562
146,0.554
147,0.56
148,0.587
149,0.526
150,0.524
151,0.558
152,0.55
153,0.537
154,0.585
155,0.564
156,0.568
157,0.583
158,0.464
159,0.506
160,0.47
161,0.513
162,0.566
163,0.574
164,0.427
165,0.525
166,0.599
167,0.517
168,0.55
169,0.591
170,0.466
171,0.487
172,0.519
173,0.455
174,0.57
175,0.536
176,0.577
177,0.499
178,0.594
179,0.507
180,0.549
181,0.537
182,0.582
183,0.396
184,0.452
185,0.509
186,0.495
187,0.434
188,0.567
189,0.543
190,0.549
191,0.563
192,0.578
193,0.487
194,0.412
195,0.545
196,0.532
197,0.563
198,0.594
199,0.561
200,0.59
201,0.532
202,0.459
203,0.415
204,0.541
205,0.581
206,0.488
207,0.458
208,0.472
209,0.535
210,0.505
211,0.497
212,0.499
213,0.545
214,0.44
215,0.514
216,0.493
217,0.566
218,0.537
219,0.585
220,0.445
221,0.594
222,0.408
223,0.495
224,0.532
225,0.58
226,0.397
227,0.45
228,0.514
229,0.509
230,0.531
231,0.544
