Node,SIR
0,0.388
1,0.373
2,0.369
3,0.389
4,0.319
5,0.378
6,0.39
7,0.389
8,0.39
9,0.384
10,0.381
11,0.385
12,0.38
13,0.386
14,0.38
15,0.388
16,0.373
17,0.388
18,0.366
19,0.385
20,0.283
21,0.385
22,0.382
23,0.381
24,0.384
25,0.391
26,0.363
27,0.245
28,0.39
29,0.293
30,0.346
31,0.361
32,0.388
33,0.367
34,0.354
35,0.383
36,0.362
37,0.386
38,0.313
39,0.374
40,0.327
41,0.365
42,0.382
43,0.36
44,0.286
45,0.285
46,0.363
47,0.345
48,0.33
49,0.291
50,0.338
51,0.264
52,0.315
53,0.302
54,0.311
55,0.369
56,0.233
57,0.278
58,0.365
59,0.368
60,0.378
61,0.333
62,0.332
63,0.348
64,0.381
65,0.337
66,0.286
67,0.376
68,0.246
69,0.389
70,0.246
71,0.374
72,0.251
73,0.314
74,0.293
75,0.298
76,0.248
77,0.383
78,0.385
79,0.271
80,0.328
81,0.347
82,0.275
83,0.304
84,0.361
85,0.359
86,0.277
87,0.289
88,0.314
89,0.323
90,0.306
91,0.277
92,0.309
93,0.274
94,0.209
95,0.353
96,0.372
97,0.27
98,0.222
99,0.298
100,0.343
101,0.243
102,0.293
103,0.344
104,0.246
105,0.301
106,0.316
107,0.23
108,0.302
109,0.214
110,0.339
111,0.301
112,0.24
113,0.331
114,0.293
115,0.29
116,0.348
117,0.192
118,0.285
119,0.343
120,0.269
121,0.269
122,0.363
123,0.279
124,0.268
125,0.227
126,0.251
127,0.235
128,0.342
129,0.297
130,0.324
131,0.256
132,0.306
133,0.269
134,0.303
135,0.304
136,0.27
137,0.269
138,0.275
139,0.222
140,0.213
141,0.225
142,0.342
143,0.285
144,0.261
145,0.24
146,0.206
147,0.346
148,0.317
149,0.242
150,0.19
151,0.281
152,0.264
153,0.223
154,0.313
155,0.272
156,0.234
157,0.25
158,0.291
159,0.277
160,0.312
