Node,SIR
0,0.357
1,0.331
2,0.359
3,0.342
4,0.312
5,0.347
6,0.342
7,0.293
8,0.343
9,0.292
10,0.35
11,0.36
12,0.357
13,0.361
14,0.351
15,0.346
16,0.351
17,0.354
18,0.35
19,0.357
20,0.353
21,0.359
22,0.338
23,0.349
24,0.325
25,0.341
26,0.318
27,0.306
28,0.296
29,0.306
30,0.34
31,0.307
32,0.314
33,0.331
34,0.33
35,0.326
36,0.322
37,0.3
38,0.337
39,0.229
40,0.335
41,0.354
42,0.339
43,0.304
44,0.303
45,0.268
46,0.326
47,0.311
48,0.268
49,0.306
50,0.322
51,0.309
52,0.325
53,0.293
54,0.325
55,0.313
56,0.296
57,0.231
58,0.288
59,0.29
60,0.313
61,0.337
62,0.268
63,0.289
64,0.247
65,0.309
66,0.287
67,0.33
68,0.293
69,0.272
70,0.262
71,0.262
72,0.324
73,0.265
74,0.264
75,0.31
76,0.249
77,0.268
78,0.26
79,0.243
80,0.273
81,0.266
82,0.182
83,0.271
84,0.296
85,0.246
86,0.217
87,0.265
88,0.252
89,0.258
90,0.248
91,0.317
92,0.236
93,0.254
94,0.248
95,0.278
96,0.233
97,0.22
98,0.226
99,0.308
100,0.19
101,0.269
102,0.297
103,0.277
104,0.25
105,0.271
106,0.287
107,0.2
108,0.262
109,0.222
110,0.244
111,0.229
112,0.218
113,0.261
114,0.235
115,0.216
116,0.166
117,0.236
118,0.248
119,0.229
120,0.231
121,0.225
122,0.219
123,0.224
124,0.173
125,0.278
126,0.255
127,0.214
128,0.228
129,0.19
130,0.256
131,0.22
132,0.202
133,0.241
134,0.276
135,0.192
136,0.21
137,0.185
138,0.21
139,0.208
140,0.205
141,0.202
142,0.296
143,0.204
144,0.233
145,0.244
146,0.2
147,0.201
148,0.218
149,0.234
150,0.234
151,0.152
152,0.226
153,0.262
154,0.173
155,0.233
156,0.195
157,0.283
158,0.229
159,0.241
160,0.223
161,0.209
162,0.219
163,0.198
164,0.244
165,0.176
166,0.246
167,0.205
168,0.168
169,0.195
170,0.245
171,0.184
172,0.249
173,0.203
174,0.218
175,0.2
176,0.232
177,0.217
178,0.249
179,0.229
180,0.244
181,0.237
182,0.2
183,0.193
184,0.239
185,0.187
186,0.221
187,0.223
188,0.15
189,0.19
190,0.197
191,0.185
192,0.153
193,0.188
194,0.226
195,0.265
196,0.173
197,0.184
198,0.177
199,0.206
200,0.167
201,0.219
202,0.267
203,0.183
204,0.203
205,0.159
206,0.153
207,0.177
208,0.179
209,0.211
210,0.185
211,0.196
212,0.187
213,0.224
214,0.194
215,0.156
216,0.14
217,0.211
218,0.201
219,0.156
220,0.221
221,0.141
222,0.233
223,0.218
224,0.247
225,0.201
226,0.174
227,0.179
228,0.205
229,0.152
230,0.203
231,0.176
232,0.219
233,0.231
234,0.171
235,0.148
236,0.153
237,0.182
238,0.16
239,0.208
240,0.212
241,0.222
242,0.156
243,0.174
244,0.217
245,0.201
246,0.194
247,0.154
248,0.146
249,0.223
250,0.187
251,0.229
252,0.138
253,0.175
254,0.201
255,0.207
256,0.139
257,0.171
258,0.159
259,0.188
260,0.183
261,0.192
262,0.142
263,0.13
264,0.168
265,0.256
266,0.197
267,0.18
268,0.196
269,0.17
270,0.174
271,0.163
272,0.159
273,0.145
274,0.198
275,0.193
276,0.202
277,0.191
278,0.166
279,0.161
280,0.245
281,0.191
282,0.219
283,0.199
284,0.148
285,0.195
286,0.213
287,0.151
288,0.223
289,0.156
290,0.136
291,0.167
292,0.13
293,0.167
294,0.175
295,0.151
296,0.132
297,0.227
298,0.178
299,0.187
300,0.131
301,0.202
302,0.172
303,0.236
304,0.202
305,0.176
306,0.151
307,0.165
308,0.239
309,0.207
310,0.178
311,0.136
312,0.201
313,0.165
314,0.184
315,0.17
316,0.199
317,0.193
318,0.159
319,0.174
320,0.225
321,0.197
322,0.178
323,0.166
324,0.202
325,0.158
326,0.214
327,0.184
328,0.195
329,0.206
330,0.17
331,0.147
332,0.199
333,0.207
334,0.178
335,0.169
336,0.166
337,0.204
338,0.192
339,0.154
340,0.203
341,0.127
342,0.138
343,0.187
344,0.169
345,0.166
346,0.215
347,0.127
348,0.135
349,0.212
350,0.178
351,0.151
352,0.124
353,0.17
354,0.17
355,0.172
356,0.208
357,0.154
358,0.186
359,0.167
360,0.157
361,0.173
362,0.181
363,0.177
364,0.164
365,0.137
366,0.151
367,0.22
368,0.139
369,0.185
370,0.132
371,0.179
372,0.148
373,0.166
374,0.15
375,0.181
376,0.134
377,0.127
378,0.168
379,0.12
380,0.117
381,0.201
382,0.167
383,0.136
384,0.188
385,0.162
386,0.182
387,0.152
388,0.13
389,0.142
390,0.195
391,0.117
392,0.17
393,0.141
394,0.165
395,0.15
396,0.157
397,0.14
398,0.173
399,0.139
400,0.154
401,0.094
402,0.185
403,0.143
404,0.183
405,0.19
406,0.149
407,0.166
408,0.172
409,0.178
410,0.153
411,0.156
412,0.214
413,0.193
414,0.186
415,0.178
416,0.167
417,0.208
418,0.19
419,0.155
420,0.172
421,0.142
422,0.167
423,0.145
424,0.138
425,0.134
426,0.149
427,0.205
428,0.177
429,0.155
430,0.125
431,0.137
432,0.173
433,0.152
434,0.13
435,0.167
436,0.169
437,0.203
438,0.136
439,0.191
440,0.165
441,0.152
442,0.184
443,0.121
444,0.14
445,0.152
446,0.174
447,0.175
448,0.147
449,0.162
450,0.181
451,0.141
452,0.191
453,0.151
454,0.141
455,0.141
456,0.128
457,0.109
458,0.124
459,0.122
460,0.176
461,0.178
462,0.12
463,0.153
464,0.107
465,0.105
466,0.1
467,0.169
468,0.125
469,0.163
470,0.147
471,0.145
472,0.163
473,0.164
474,0.172
475,0.109
476,0.153
477,0.166
478,0.146
479,0.139
480,0.135
481,0.144
482,0.134
483,0.165
484,0.133
485,0.151
486,0.148
487,0.138
488,0.126
489,0.12
490,0.149
491,0.134
492,0.152
493,0.113
494,0.178
495,0.105
496,0.156
497,0.115
498,0.16
499,0.143
