Node,SIR
465,0.187
466,0.142
467,0.209
468,0.149
469,0.096
470,0.114
471,0.171
472,0.146
473,0.155
474,0.132
475,0.077
476,0.111
477,0.15
478,0.108
479,0.073
480,0.13
481,0.117
482,0.137
483,0.138
484,0.19
485,0.182
486,0.147
487,0.088
