Node,WiD1,WiD2,WiD3
1575,4,38,373
1576,7,213,1977
1577,3,26,340
1578,6,38,395
1579,5,120,1252
1580,5,27,280
1581,7,48,560
1582,6,24,336
1583,6,32,283
1584,7,108,967
1585,5,55,608
1586,9,40,319
1587,4,27,366
1588,9,56,528
1589,6,208,2414
1590,5,218,2244
1591,3,21,261
1592,2,21,179
1593,4,28,323
1594,5,27,355
1595,5,46,421
1596,4,44,419
1597,3,101,1177
1598,5,132,1470
1599,6,59,456
1600,6,43,292
1601,4,47,580
1602,4,50,701
1603,4,60,430
1604,5,26,195
1605,3,33,417
1606,2,189,2134
1607,6,26,224
1608,5,69,870
1609,6,204,2344
1610,6,45,424
1611,7,75,569
1612,5,27,199
1613,5,35,394
1614,4,122,1342
1615,4,41,408
1616,7,246,2384
1617,5,105,1409
1618,3,24,147
1619,5,66,905
1620,6,52,690
1621,4,52,517
1622,6,32,399
1623,3,206,2140
1624,8,59,718
1625,6,41,442
1626,5,46,300
1627,9,54,397
1628,4,56,508
1629,3,71,859
1630,6,63,534
1631,3,23,179
1632,5,45,289
1633,4,64,570
1634,7,78,676
1635,4,197,1947
1636,2,34,529
1637,2,50,603
1638,11,93,935
1639,6,54,559
1640,2,49,517
1641,3,37,397
1642,4,205,1991
1643,11,93,1233
1644,2,32,404
1645,4,52,624
1646,7,40,689
1647,3,16,207
1648,5,26,195
1649,3,41,489
1650,12,71,921
1651,4,23,275
1652,5,46,430
1653,2,198,2074
1654,6,204,2154
1655,2,39,715
1656,3,125,1220
1657,4,41,490
1658,6,233,2517
1659,2,37,513
1660,3,18,118
1661,6,102,992
1662,6,88,1061
1663,6,37,429
1664,2,45,291
1665,2,16,153
1666,5,27,306
1667,8,30,692
1668,6,68,577
1669,3,27,396
1670,4,23,163
1671,4,45,548
1672,4,78,832
1673,3,27,246
1674,2,54,665
1675,5,67,550
1676,14,92,776
1677,5,72,1038
1678,5,51,402
1679,4,31,442
1680,4,122,1665
1681,3,29,208
1682,4,50,353
1683,4,36,560
1684,5,37,422
1685,2,57,599
1686,6,129,1872
1687,5,227,2098
1688,3,28,231
1689,5,70,738
1690,3,44,391
1691,6,37,336
1692,3,36,440
1693,2,23,191
1694,9,220,2041
1695,3,16,168
1696,8,51,561
1697,11,75,570
1698,2,11,172
1699,3,27,266
1700,3,23,210
1701,7,61,595
1702,5,47,642
1703,2,51,531
1704,2,35,312
1705,5,37,498
1706,2,38,550
1707,2,21,138
1708,4,37,270
1709,3,39,396
1710,3,108,1333
1711,2,32,380
1712,5,49,674
1713,6,42,508
1714,7,40,301
1715,4,91,1127
1716,7,48,385
1717,5,41,537
1718,10,80,979
1719,3,31,402
1720,3,115,1007
1721,3,28,210
1722,3,50,393
1723,2,43,370
1724,4,42,490
1725,6,52,614
1726,3,76,1146
1727,4,57,613
1728,4,27,187
1729,2,22,212
1730,6,37,555
1731,10,97,748
1732,8,78,915
1733,4,120,1308
1734,2,17,197
1735,2,21,197
1736,4,28,187
1737,5,79,917
1738,2,42,494
1739,4,52,367
1740,6,38,290
1741,5,208,2046
1742,3,51,809
1743,2,56,384
1744,5,34,556
1745,3,29,514
1746,2,57,707
1747,6,28,167
1748,2,31,447
1749,3,44,604
1750,3,41,518
1751,7,39,347
1752,6,36,343
1753,2,50,404
1754,3,30,273
1755,2,14,165
1756,5,26,607
1757,5,30,393
1758,4,40,457
1759,3,50,346
1760,4,65,649
1761,3,114,1248
1762,9,34,329
1763,2,14,315
1764,7,223,2497
1765,4,26,232
1766,3,33,414
1767,9,79,893
1768,5,71,820
1769,3,47,764
1770,9,60,633
1771,5,119,1060
1772,4,25,208
1773,2,30,211
1774,5,29,358
1775,7,84,1217
1776,3,24,338
1777,7,168,1913
1778,4,34,225
1779,7,60,463
1780,3,16,335
1781,2,43,541
1782,6,57,401
1783,2,102,1123
1784,3,33,633
1785,5,70,789
1786,6,30,407
1787,2,81,871
1788,8,36,277
1789,5,29,348
1790,6,26,166
1791,4,57,805
1792,2,74,702
1793,3,137,1576
1794,2,18,180
1795,2,19,505
1796,4,30,207
1797,3,20,282
1798,6,57,400
1799,4,47,344
1800,6,45,453
1801,3,19,385
1802,3,35,450
1803,5,32,264
1804,4,34,265
1805,4,34,516
1806,9,67,568
1807,3,52,482
1808,8,76,609
1809,4,24,239
1810,3,28,420
1811,2,151,1561
1812,3,43,569
1813,3,20,331
1814,4,40,471
1815,5,225,2216
1816,2,18,160
1817,3,203,2328
1818,6,69,708
1819,3,63,832
1820,4,37,427
1821,3,50,484
1822,3,75,610
1823,3,48,829
1824,4,19,223
1825,3,113,1228
1826,2,15,425
1827,3,61,544
1828,8,37,243
1829,2,13,140
1830,9,51,468
1831,4,29,299
1832,6,48,513
1833,2,28,346
1834,6,207,2415
1835,8,240,2858
1836,3,20,181
1837,8,37,461
1838,3,22,225
1839,5,27,335
1840,6,64,922
1841,4,64,423
1842,2,24,287
1843,5,25,449
1844,4,41,425
1845,3,17,156
1846,2,64,983
1847,6,43,452
1848,4,54,400
1849,2,117,1065
1850,2,19,150
1851,2,19,215
1852,4,25,162
1853,3,95,1058
1854,7,127,1316
1855,5,32,630
1856,3,202,2192
1857,2,19,154
1858,4,41,295
1859,3,23,166
1860,4,49,590
1861,11,73,999
1862,5,59,681
1863,2,23,233
1864,2,42,780
1865,3,28,348
1866,4,29,340
1867,6,29,297
1868,2,34,269
1869,4,24,160
1870,7,44,604
1871,4,33,454
1872,3,28,530
1873,3,205,2083
1874,4,33,340
1875,2,28,345
1876,5,250,2578
1877,5,126,1154
1878,3,37,469
1879,6,39,353
1880,4,27,191
1881,4,54,390
1882,3,45,369
1883,2,30,208
1884,3,83,679
1885,2,13,211
1886,4,208,2068
1887,5,122,1118
1888,2,22,337
1889,2,83,730
1890,6,45,326
1891,2,37,343
1892,5,47,393
1893,2,54,394
1894,4,30,313
1895,2,15,289
1896,2,15,102
1897,4,35,453
1898,4,32,297
1899,5,63,722
1900,2,10,109
1901,4,23,332
1902,4,67,674
1903,3,40,328
1904,5,208,2290
1905,3,95,1265
1906,3,16,334
1907,3,42,575
1908,3,20,172
1909,3,58,697
1910,3,46,403
1911,5,58,850
1912,9,60,493
1913,2,41,908
1914,2,24,220
1915,3,33,289
1916,4,43,457
1917,3,59,837
1918,2,42,647
1919,5,202,1972
1920,5,61,410
1921,3,48,406
1922,7,38,453
1923,2,46,424
1924,3,65,687
1925,4,23,153
1926,2,22,217
1927,5,43,654
1928,4,20,162
1929,4,29,255
1930,6,40,527
1931,4,21,330
1932,5,47,539
1933,7,29,368
1934,2,20,257
1935,3,35,310
1936,2,99,1282
1937,3,45,323
1938,3,60,440
1939,4,42,432
1940,7,40,574
1941,4,22,331
1942,2,28,328
1943,3,83,782
1944,4,62,743
1945,3,24,184
1946,3,29,189
1947,2,11,77
1948,3,24,186
1949,6,45,329
1950,3,16,110
1951,6,38,385
1952,4,42,474
1953,8,126,1332
1954,2,58,787
1955,6,38,722
1956,6,45,390
1957,4,29,295
1958,3,55,666
1959,4,59,454
1960,3,38,454
1961,2,21,158
1962,7,29,331
1963,3,21,187
1964,3,21,249
1965,3,29,227
1966,5,44,690
1967,3,104,1320
1968,3,35,444
1969,4,45,286
1970,2,25,280
1971,3,20,151
1972,4,28,351
1973,5,28,481
1974,6,128,1323
1975,4,60,572
1976,5,53,575
1977,3,67,557
1978,2,192,2194
1979,2,19,167
1980,7,30,355
1981,6,79,647
1982,7,43,454
1983,3,31,248
1984,10,39,272
1985,3,90,1129
1986,3,195,1890
1987,3,49,593
1988,2,29,692
1989,2,50,337
1990,3,29,258
1991,4,16,378
1992,6,35,337
1993,5,203,2348
1994,4,32,409
1995,9,41,437
1996,4,25,359
1997,8,44,346
1998,3,121,1638
1999,2,30,202
2000,4,45,395
2001,6,50,380
2002,3,30,190
2003,2,112,1205
2004,3,23,376
2005,2,41,368
2006,12,76,993
2007,2,59,782
2008,7,134,1203
2009,2,12,139
2010,3,63,571
2011,3,68,703
2012,6,202,1957
2013,2,25,346
2014,4,57,383
2015,5,37,272
2016,3,22,237
2017,3,58,479
2018,11,53,562
2019,3,22,224
2020,3,25,250
2021,4,103,1080
2022,6,42,278
2023,5,44,500
2024,7,37,351
2025,6,41,398
2026,2,53,596
2027,2,27,205
2028,6,27,190
2029,3,41,323
2030,3,71,983
2031,2,30,308
2032,5,204,1936
2033,4,36,291
2034,4,52,583
2035,5,46,579
2036,3,19,429
2037,3,18,232
2038,2,26,303
2039,3,46,367
2040,11,65,786
2041,6,26,347
2042,3,20,141
2043,4,64,493
2044,9,53,580
2045,5,31,333
2046,2,53,732
2047,3,14,185
2048,5,38,368
2049,7,32,349
2050,6,50,401
2051,2,25,197
2052,3,28,253
2053,2,125,1111
2054,4,56,463
2055,3,36,406
2056,6,230,2396
2057,6,67,662
2058,2,40,391
2059,4,110,1228
2060,3,27,254
2061,4,196,2017
2062,3,48,357
2063,3,201,2009
2064,5,46,288
2065,2,81,942
2066,9,62,650
2067,3,24,340
2068,6,149,1896
2069,3,29,260
2070,7,54,477
2071,3,55,550
2072,5,33,279
2073,4,97,1019
2074,4,27,332
2075,2,19,164
2076,7,59,426
2077,3,78,973
2078,6,36,246
2079,5,32,239
2080,5,52,501
2081,6,29,208
2082,4,24,198
2083,5,202,1928
2084,2,31,281
2085,2,12,118
2086,3,42,360
2087,7,61,558
2088,7,56,680
2089,5,98,1095
2090,8,41,383
2091,2,16,174
2092,6,47,447
2093,2,38,325
2094,4,50,582
2095,6,22,176
2096,4,51,482
2097,2,23,220
2098,2,15,139
2099,3,40,404
2100,8,39,475
2101,2,212,2099
2102,2,33,573
2103,3,19,182
2104,3,49,630
2105,2,24,190
2106,2,39,363
2107,4,62,479
2108,3,38,597
2109,3,72,566
2110,2,42,435
2111,3,19,123
2112,3,23,454
2113,3,13,198
2114,3,26,142
2115,2,31,362
2116,2,53,604
2117,2,71,591
2118,8,41,385
2119,3,18,139
2120,6,38,306
2121,5,66,589
2122,4,26,207
2123,4,27,371
2124,3,24,265
2125,2,208,2130
2126,2,47,679
2127,5,28,292
2128,5,25,140
2129,7,35,492
2130,6,33,198
2131,6,161,1582
2132,7,37,382
2133,3,24,223
2134,4,43,1006
2135,2,29,332
2136,7,55,570
2137,5,27,378
2138,5,48,463
2139,2,25,166
2140,8,33,417
2141,2,32,298
2142,2,29,225
2143,5,208,1972
2144,2,37,470
2145,2,22,158
2146,6,229,2211
2147,8,38,378
2148,4,43,602
2149,3,15,307
2150,9,41,410
2151,5,41,758
2152,5,25,225
2153,2,13,270
2154,2,20,167
2155,2,30,193
2156,4,36,217
2157,2,20,167
2158,3,17,118
2159,4,75,936
2160,2,27,299
2161,6,29,425
2162,3,119,1555
2163,2,19,124
2164,2,28,202
2165,7,39,485
2166,3,46,389
2167,3,41,335
2168,5,210,2124
2169,3,201,2023
2170,4,122,1312
2171,3,20,282
2172,3,25,235
2173,3,28,178
2174,7,34,475
2175,5,36,264
2176,4,20,182
2177,10,51,406
2178,2,43,683
2179,4,67,1052
2180,6,58,739
2181,3,20,138
2182,6,42,556
2183,2,89,864
2184,2,14,94
2185,4,51,337
2186,7,43,463
2187,5,22,500
2188,3,110,1242
2189,3,54,872
2190,4,32,522
2191,2,76,744
2192,3,27,248
2193,3,20,180
2194,7,206,1975
2195,2,21,312
2196,4,31,283
2197,2,45,604
2198,5,42,281
2199,2,236,2531
2200,4,34,307
2201,5,28,212
2202,5,31,188
2203,7,40,388
2204,5,57,617
2205,7,54,420
2206,2,46,427
2207,4,34,535
2208,3,17,190
2209,2,34,337
2210,2,61,643
2211,3,36,340
2212,6,37,341
2213,3,29,203
2214,4,49,534
2215,5,21,506
2216,5,47,320
2217,11,94,859
2218,7,102,1277
2219,3,80,1026
2220,3,29,249
2221,4,57,851
2222,2,18,164
2223,3,18,127
2224,3,72,757
2225,6,27,421
2226,2,28,191
2227,4,48,290
2228,6,29,183
2229,5,37,228
2230,3,66,1007
2231,2,21,219
2232,9,91,806
2233,2,51,541
2234,3,24,172
2235,4,50,385
2236,2,53,586
2237,3,127,1536
2238,4,41,286
2239,2,13,202
2240,3,61,946
2241,2,17,200
2242,2,43,408
2243,5,33,354
2244,3,30,360
2245,6,48,463
2246,2,62,776
2247,2,19,348
2248,4,123,1255
2249,2,36,240
2250,5,96,1011
2251,2,11,74
2252,3,33,426
2253,2,31,229
2254,4,28,261
2255,2,53,495
2256,7,26,303
2257,2,41,316
2258,3,114,1362
2259,4,25,240
2260,4,38,417
2261,5,42,430
2262,5,239,2234
2263,3,30,167
2264,3,44,390
2265,5,39,380
2266,3,38,383
2267,3,27,563
2268,3,213,2145
2269,3,29,416
2270,4,56,444
2271,4,39,376
2272,5,35,305
2273,5,28,339
2274,4,31,276
2275,6,125,1744
2276,2,93,1172
2277,3,33,305
2278,3,75,699
2279,6,80,995
2280,6,58,815
2281,3,48,422
2282,4,100,1293
2283,2,23,155
2284,4,103,1269
2285,3,32,537
2286,4,28,199
2287,2,47,466
2288,3,19,144
2289,2,27,217
2290,4,29,468
2291,2,34,278
2292,7,42,390
2293,3,39,490
2294,7,40,285
2295,2,191,1834
2296,2,123,1287
2297,2,22,186
2298,5,73,896
2299,5,62,824
2300,9,38,436
2301,3,15,137
2302,3,84,1076
2303,7,67,577
2304,3,99,1064
2305,2,37,540
2306,2,14,100
2307,3,19,287
2308,5,32,312
2309,2,13,140
2310,3,22,188
2311,5,59,422
2312,2,30,451
2313,7,123,1625
2314,4,22,128
2315,4,17,209
2316,3,35,245
2317,2,13,396
2318,13,228,2201
2319,2,64,873
2320,3,13,259
2321,3,32,313
2322,10,69,1064
2323,2,77,717
2324,2,55,476
2325,4,220,2107
2326,4,122,1540
2327,3,28,252
2328,8,64,592
2329,5,25,379
2330,2,27,206
2331,3,39,309
2332,4,194,2184
2333,3,34,473
2334,2,17,99
2335,2,16,114
2336,2,40,402
2337,2,61,612
2338,2,47,535
2339,3,15,192
2340,5,172,2002
2341,6,33,452
2342,3,54,672
2343,7,45,663
2344,4,39,369
2345,8,38,472
2346,2,14,129
2347,6,65,500
2348,3,119,1570
2349,5,60,494
2350,3,41,267
2351,3,25,254
2352,6,83,975
2353,3,23,264
2354,10,81,874
2355,6,38,504
2356,2,75,679
2357,3,92,799
2358,2,11,321
2359,6,27,557
2360,2,22,136
2361,4,38,308
2362,5,28,289
2363,4,107,1398
2364,4,71,940
2365,7,30,194
2366,5,205,2247
2367,2,31,301
2368,4,52,535
2369,2,66,827
2370,4,20,372
2371,3,74,701
2372,4,29,359
2373,2,199,2066
2374,5,44,635
2375,3,41,608
2376,3,73,739
2377,5,29,199
2378,3,20,330
2379,8,89,1087
2380,2,42,350
2381,6,37,476
2382,6,25,228
2383,3,44,370
2384,3,66,564
2385,2,22,211
2386,2,23,284
2387,2,27,370
2388,4,31,814
2389,2,241,2346
2390,2,23,284
2391,2,40,486
2392,7,64,563
2393,3,201,2142
2394,4,35,520
2395,7,45,431
2396,2,25,187
2397,2,20,155
2398,3,55,900
2399,2,44,409
2400,3,24,172
2401,2,122,1061
2402,3,34,300
2403,3,51,518
2404,4,25,283
2405,5,230,2162
2406,4,30,315
2407,2,23,275
2408,4,15,122
2409,3,16,281
2410,2,33,379
2411,5,29,420
2412,5,38,476
2413,2,38,400
2414,2,109,990
2415,4,41,462
2416,2,42,363
2417,4,39,313
2418,2,14,214
2419,2,24,179
2420,3,20,222
2421,3,32,381
2422,4,26,307
2423,3,68,570
2424,10,63,633
2425,4,42,554
2426,3,24,145
2427,4,27,197
2428,4,25,236
2429,3,28,375
2430,2,62,525
2431,2,53,649
2432,3,42,442
2433,5,68,1056
2434,6,57,624
2435,3,14,203
2436,2,24,432
2437,3,93,1098
2438,2,98,1440
2439,4,83,802
2440,4,46,691
2441,7,63,465
2442,4,24,219
2443,2,40,337
2444,2,39,444
2445,2,14,100
2446,3,209,2159
2447,2,17,170
2448,2,124,1476
2449,2,40,245
2450,3,55,580
2451,3,26,336
2452,3,70,566
2453,2,21,141
2454,5,26,209
2455,7,28,272
2456,2,11,233
2457,4,45,487
2458,4,198,2355
2459,2,197,2144
2460,7,45,594
2461,2,28,494
2462,4,34,538
2463,4,20,360
2464,3,118,1081
2465,3,22,490
2466,4,32,325
2467,3,15,340
2468,3,198,1930
2469,3,75,707
2470,3,25,154
2471,2,52,761
2472,3,20,191
2473,3,44,386
2474,3,39,598
2475,2,26,206
2476,3,47,474
2477,3,273,3298
2478,4,32,480
2479,2,89,965
2480,3,124,1241
2481,5,58,551
2482,4,24,372
2483,6,70,601
2484,2,12,372
2485,3,17,319
2486,5,163,1977
2487,5,52,682
2488,6,32,263
2489,3,16,92
2490,6,32,302
2491,3,113,1014
2492,3,27,253
2493,3,78,675
2494,2,63,617
2495,3,51,475
2496,2,75,685
2497,5,118,1492
2498,3,44,473
2499,4,33,294
2500,2,44,559
2501,3,46,322
2502,4,86,1158
2503,5,44,287
2504,4,61,545
2505,3,27,154
2506,5,31,315
2507,4,26,157
2508,7,154,1709
2509,4,44,328
2510,2,20,148
2511,2,36,235
2512,5,31,687
2513,2,51,399
2514,2,76,908
2515,2,21,301
2516,5,25,163
2517,4,59,475
2518,2,36,263
2519,3,84,855
2520,2,29,466
2521,7,229,2506
2522,5,48,467
2523,2,27,311
2524,2,30,470
2525,5,127,1298
2526,4,49,378
2527,2,10,124
2528,3,16,113
2529,2,9,84
2530,2,49,588
2531,5,83,737
2532,5,35,317
2533,3,20,319
2534,4,26,369
2535,3,23,165
2536,6,30,251
2537,3,52,412
2538,3,36,355
2539,3,16,201
2540,4,23,216
2541,5,204,2369
2542,4,24,343
2543,3,32,289
2544,3,51,506
2545,3,46,485
2546,2,40,303
2547,2,97,1296
2548,2,47,304
2549,6,50,714
2550,2,80,787
2551,12,61,554
2552,3,47,569
2553,3,21,240
2554,5,39,347
2555,3,30,480
2556,2,14,289
2557,3,46,412
2558,3,223,2253
2559,5,23,220
2560,4,203,2045
2561,7,40,472
2562,3,21,244
2563,4,47,691
2564,3,118,1235
2565,2,15,191
2566,3,25,237
2567,4,84,857
2568,3,34,382
2569,5,37,332
2570,4,84,819
2571,2,16,92
2572,2,201,2210
2573,2,13,99
2574,5,60,410
2575,5,36,306
2576,2,32,268
2577,4,29,358
2578,2,192,2128
2579,2,35,224
2580,2,121,1816
2581,3,33,244
2582,4,47,676
2583,2,17,207
2584,2,59,592
2585,3,23,209
2586,4,196,2340
2587,3,18,304
2588,2,53,711
2589,4,33,270
2590,3,18,294
2591,4,20,297
2592,4,63,479
2593,3,17,120
2594,4,77,657
2595,6,28,181
2596,3,31,236
2597,3,75,695
2598,2,37,629
2599,5,73,576
2600,5,53,612
2601,6,30,368
2602,2,18,157
2603,2,52,452
2604,6,35,437
2605,2,19,163
2606,2,16,101
2607,2,190,2119
2608,6,38,277
2609,3,22,132
2610,2,15,113
2611,3,19,475
2612,6,32,308
2613,3,21,115
2614,4,105,1200
2615,3,36,588
2616,7,31,223
2617,2,22,193
2618,5,20,282
2619,2,16,96
2620,5,28,340
2621,2,12,91
2622,5,41,520
2623,4,16,153
2624,2,25,163
2625,3,114,1432
2626,3,39,377
2627,3,16,232
2628,4,36,413
2629,2,37,331
2630,2,24,454
2631,3,49,537
2632,2,188,1816
2633,3,23,195
2634,3,15,97
2635,4,31,276
2636,2,16,187
2637,5,39,536
2638,4,228,2403
2639,4,204,2087
2640,3,28,378
2641,5,69,860
2642,2,18,166
2643,5,85,950
2644,6,45,420
2645,4,26,304
2646,3,29,206
2647,6,33,301
2648,2,114,1494
2649,6,50,562
2650,7,82,1072
2651,3,15,158
2652,3,31,389
2653,7,94,884
2654,5,33,244
2655,3,16,317
2656,2,20,203
2657,2,119,1092
2658,5,42,456
2659,2,20,295
2660,2,20,165
2661,6,51,1064
2662,3,20,135
2663,2,196,1998
2664,2,88,1027
2665,6,37,443
2666,3,18,121
2667,4,21,200
2668,3,107,1143
2669,3,24,203
2670,2,14,129
2671,5,61,703
2672,3,81,932
2673,2,17,127
2674,3,18,234
2675,3,102,1080
2676,5,52,343
2677,2,31,206
2678,2,21,231
2679,4,30,405
2680,3,63,584
2681,3,58,888
2682,4,85,756
2683,3,58,765
2684,3,52,680
2685,2,71,1017
2686,3,35,218
2687,2,23,242
2688,2,16,105
2689,2,12,88
2690,2,13,99
2691,2,97,880
2692,4,22,245
2693,5,42,598
2694,3,244,2553
2695,5,41,282
2696,4,23,401
2697,2,37,576
2698,2,45,479
2699,5,207,2253
2700,2,17,100
2701,8,35,328
2702,2,15,123
2703,6,32,319
2704,3,21,390
2705,10,223,2212
2706,3,68,536
2707,3,54,693
2708,3,17,163
2709,4,35,309
2710,2,14,295
2711,2,12,74
2712,5,47,652
2713,4,37,409
2714,3,38,227
2715,2,46,651
2716,2,15,109
2717,5,52,463
2718,5,65,559
2719,2,27,173
2720,2,45,467
2721,2,30,411
2722,3,50,396
2723,6,25,249
2724,2,12,56
2725,2,190,1835
2726,3,34,441
2727,4,133,1806
2728,2,42,374
2729,6,37,451
2730,5,91,993
2731,3,38,446
2732,4,26,207
2733,2,11,72
2734,3,98,872
2735,2,13,141
2736,5,31,219
2737,2,162,2197
2738,3,128,1304
2739,2,17,119
2740,7,58,717
2741,4,34,310
2742,2,20,176
2743,4,27,215
2744,7,65,565
2745,5,27,298
2746,4,18,299
2747,2,12,163
2748,4,296,3031
2749,2,12,156
2750,3,78,899
2751,5,55,590
2752,3,110,1009
2753,2,17,192
2754,2,30,387
2755,3,45,344
2756,3,38,514
2757,5,25,307
2758,2,13,127
2759,2,15,207
2760,3,57,669
2761,2,14,288
2762,3,19,169
2763,2,80,896
2764,5,29,351
2765,3,31,241
2766,3,21,293
2767,3,27,388
2768,3,48,555
2769,3,20,402
2770,3,24,267
2771,3,44,415
2772,2,24,322
2773,3,25,363
2774,3,22,421
2775,2,64,590
2776,3,50,337
2777,2,31,543
2778,2,217,2300
2779,3,16,110
2780,8,85,806
2781,4,37,420
2782,2,22,302
2783,4,73,509
2784,3,50,409
2785,4,17,189
2786,3,55,755
2787,3,58,463
2788,3,19,428
2789,6,47,570
2790,3,16,465
2791,3,46,319
2792,3,201,2008
2793,2,41,576
2794,3,32,232
2795,3,13,118
2796,3,67,1037
2797,2,35,295
2798,4,45,492
2799,4,51,642
2800,2,212,2321
2801,2,35,232
2802,5,24,193
2803,7,54,430
2804,2,15,105
2805,2,40,601
2806,4,24,219
2807,4,75,675
2808,4,38,410
2809,4,31,316
2810,3,117,1247
2811,4,17,223
2812,2,18,135
2813,10,66,1191
2814,3,20,161
2815,3,27,356
2816,8,35,315
2817,5,52,594
2818,5,220,2328
2819,5,79,1069
2820,8,144,1478
2821,2,15,185
2822,5,68,544
2823,5,33,303
2824,3,204,2044
2825,2,13,82
2826,3,22,207
2827,7,24,219
2828,4,101,1294
2829,4,22,272
2830,2,9,68
2831,4,50,670
2832,5,215,2277
2833,3,124,1478
2834,6,30,425
2835,5,38,539
2836,5,20,368
2837,3,192,2282
2838,2,43,415
2839,2,95,1012
2840,2,17,191
2841,2,48,653
2842,2,10,177
2843,5,29,440
2844,3,89,827
2845,2,198,1986
2846,4,39,713
2847,2,17,237
2848,2,25,310
2849,4,21,128
2850,3,26,316
2851,3,56,746
2852,5,33,260
2853,4,28,202
2854,2,17,141
2855,3,196,2175
2856,6,59,580
2857,2,28,304
2858,4,20,158
2859,3,38,480
2860,2,70,589
2861,7,213,2032
2862,4,29,414
2863,2,41,444
2864,2,34,439
2865,2,32,555
2866,2,33,269
2867,3,35,443
2868,4,49,446
2869,3,19,135
2870,2,25,221
2871,5,35,401
2872,5,26,169
2873,3,50,356
2874,5,48,570
2875,5,21,198
2876,3,31,220
2877,3,30,487
2878,3,18,198
2879,4,108,1169
2880,3,28,340
2881,3,21,288
2882,2,24,408
2883,4,22,318
2884,2,13,191
2885,2,38,522
2886,3,31,471
2887,2,24,345
2888,2,13,72
2889,4,20,135
2890,3,24,153
2891,3,19,357
2892,3,21,250
2893,5,30,425
2894,3,20,129
2895,3,68,897
2896,4,27,225
2897,2,194,1865
2898,3,44,309
2899,2,9,194
2900,5,25,175
2901,3,27,328
2902,3,115,1574
2903,3,22,315
2904,4,33,248
2905,2,15,98
2906,5,41,253
2907,3,22,259
2908,2,28,378
2909,3,191,1832
2910,3,190,2322
2911,2,20,161
2912,4,19,129
2913,2,15,234
2914,5,54,574
2915,2,55,568
2916,2,41,277
2917,2,13,98
2918,2,11,111
2919,2,26,368
2920,2,23,321
2921,4,21,135
2922,3,49,569
2923,3,22,200
2924,3,72,509
2925,4,49,571
2926,5,83,927
2927,2,27,367
2928,4,201,2262
2929,2,23,256
2930,3,18,325
2931,2,190,1875
2932,5,39,269
2933,3,61,803
2934,2,52,498
2935,2,12,129
2936,2,20,241
2937,2,52,603
2938,3,65,688
2939,3,188,2166
2940,4,18,195
2941,3,21,229
2942,5,25,236
2943,3,20,335
2944,3,12,111
2945,5,77,785
2946,5,29,195
2947,3,19,173
2948,2,48,366
2949,5,25,260
2950,3,24,202
2951,2,36,315
2952,6,74,614
2953,4,26,354
2954,4,119,1231
2955,4,121,1392
2956,3,54,582
2957,2,220,2439
2958,3,37,407
2959,2,20,285
2960,3,21,149
2961,2,114,1218
2962,2,63,860
2963,2,41,555
2964,2,55,666
2965,9,56,380
2966,2,19,297
2967,4,32,212
2968,5,59,813
2969,3,24,267
2970,3,106,1058
2971,5,61,616
2972,3,75,652
2973,2,53,836
2974,3,17,198
2975,3,192,1959
2976,8,70,737
2977,6,160,1797
2978,3,40,318
2979,3,97,962
2980,2,46,407
2981,3,31,391
2982,2,41,320
2983,4,28,194
2984,3,202,2291
2985,5,26,259
2986,3,18,100
2987,6,27,295
2988,2,10,80
2989,5,23,330
2990,4,49,523
2991,2,30,267
2992,2,31,267
2993,3,39,304
2994,3,61,546
2995,5,33,374
2996,4,49,530
2997,7,42,315
2998,2,85,665
2999,3,13,280
3000,2,25,388
3001,2,15,319
3002,4,59,553
3003,4,217,2142
3004,3,119,1255
3005,2,34,483
3006,3,15,206
3007,2,25,536
3008,4,38,263
3009,2,32,366
3010,3,20,188
3011,2,39,383
3012,3,51,402
3013,2,13,106
3014,3,16,132
3015,2,43,363
3016,2,10,179
3017,4,203,2046
3018,2,11,129
3019,6,292,3432
3020,2,27,162
3021,2,30,386
3022,2,190,1865
3023,3,28,184
3024,4,60,809
3025,2,56,537
3026,3,56,614
3027,5,21,174
3028,2,21,466
3029,2,15,141
3030,2,13,101
3031,2,18,219
3032,3,37,572
3033,5,77,608
3034,4,86,691
3035,3,76,1027
3036,3,108,1174
3037,6,38,464
3038,2,118,1237
3039,3,113,1660
3040,3,19,130
3041,4,23,385
3042,2,25,175
3043,3,20,154
3044,3,32,212
3045,4,106,1225
3046,5,45,439
3047,2,43,601
3048,2,51,467
3049,2,21,215
3050,9,44,379
3051,2,54,630
3052,2,39,552
3053,2,15,113
3054,2,19,114
3055,2,34,280
3056,2,60,495
3057,2,29,406
3058,2,15,233
3059,3,190,1860
3060,3,56,711
3061,4,40,543
3062,3,106,1326
3063,4,22,341
3064,3,35,455
3065,2,186,2183
3066,5,35,673
3067,3,237,2604
3068,5,24,188
3069,3,18,415
3070,2,100,1138
3071,3,43,493
3072,3,42,372
3073,2,67,690
3074,2,53,637
3075,5,25,212
3076,3,211,2047
3077,2,11,318
3078,2,29,261
3079,2,19,158
3080,3,18,320
3081,3,19,363
3082,5,38,292
3083,2,9,208
3084,4,17,280
3085,2,46,449
3086,3,52,361
3087,3,220,2396
3088,2,64,803
3089,3,116,1595
3090,2,17,98
3091,2,25,182
3092,4,199,1910
3093,3,52,902
3094,5,61,735
3095,4,20,127
3096,3,46,321
3097,3,17,163
3098,3,19,112
3099,2,19,134
3100,2,111,1669
3101,2,36,497
