Node,WiD1,WiD2,WiD3
358,5,140,1639
359,7,73,1009
360,11,88,871
361,9,106,1275
362,7,155,1544
363,2,53,750
364,7,175,2141
365,26,171,2291
366,6,64,489
367,5,287,3317
368,7,88,822
369,21,154,1694
370,7,62,606
371,9,79,628
372,5,139,1360
373,10,81,1255
374,8,50,439
375,10,78,708
376,8,44,521
377,4,131,1165
378,5,77,701
379,9,121,1522
380,17,104,1563
381,6,67,920
382,8,71,867
383,8,300,3528
384,3,54,599
385,14,155,1642
386,7,50,480
387,3,230,2542
388,12,180,2045
389,17,116,1363
390,2,61,650
391,11,93,1145
392,13,82,851
393,10,66,691
394,21,123,1602
395,9,73,753
396,5,81,1084
397,10,79,1096
398,4,65,804
399,4,34,489
400,3,57,441
401,5,40,388
402,16,123,1475
403,21,275,3615
404,5,29,533
405,20,117,1107
406,2,60,634
407,15,112,1155
408,7,100,905
409,7,59,640
410,16,79,1018
411,7,82,766
412,3,58,668
413,5,50,523
414,5,220,2213
415,7,50,942
416,7,62,589
417,10,90,869
418,13,88,1025
419,6,45,756
420,10,244,2257
421,15,161,1821
422,3,73,912
423,13,110,1287
424,11,144,1585
425,24,316,3273
426,17,131,1611
427,3,146,2087
428,2,39,312
429,25,193,2306
430,5,250,2918
431,2,103,1118
432,10,113,1249
433,7,84,1006
434,7,52,678
435,6,77,731
436,4,223,2730
437,22,123,1381
438,6,58,848
439,7,58,704
440,4,74,968
441,9,101,1027
442,5,77,986
443,12,122,1726
444,2,77,1032
445,14,293,3000
446,5,232,2222
447,6,106,1253
448,11,89,1049
449,6,77,702
450,14,154,1856
451,11,77,733
452,12,141,1176
453,8,139,1420
454,9,70,498
455,24,130,1777
456,8,74,845
457,2,107,1078
458,7,59,497
459,15,113,1423
460,16,134,1431
461,6,129,1836
462,5,57,570
463,5,126,1640
464,3,46,309
465,7,259,2467
466,8,157,1758
467,4,108,1374
468,3,91,1008
469,19,348,4037
470,4,56,749
471,3,38,444
472,14,92,1054
473,8,54,455
474,5,45,526
475,17,107,1161
476,6,71,745
477,12,68,983
478,3,38,278
479,8,167,1993
480,4,189,1959
481,12,131,1743
482,10,241,2328
483,7,93,851
484,14,110,1397
485,13,103,1243
486,14,135,1609
487,7,93,763
488,7,44,405
489,3,76,686
490,7,151,1436
491,6,134,1209
492,9,72,997
493,9,82,857
494,6,55,594
495,3,45,681
496,16,121,1115
497,4,42,497
498,6,41,531
499,12,118,1445
500,6,75,880
501,3,51,780
502,2,97,1231
503,11,88,1330
504,7,94,1144
505,8,116,1508
506,3,34,478
507,4,227,2282
508,8,77,788
509,15,166,2414
510,3,37,270
511,8,54,514
512,15,126,1519
513,4,88,1160
514,5,69,1064
515,4,84,889
516,12,168,1748
517,9,106,1264
518,5,83,1037
519,22,140,1932
520,9,65,979
521,5,245,2637
522,8,54,481
523,3,215,2395
524,7,64,678
525,6,52,453
526,9,69,504
527,9,60,726
528,12,104,1209
529,2,14,141
530,2,68,617
531,3,69,929
532,3,29,225
533,12,88,863
534,8,73,729
535,5,210,1999
536,2,77,752
537,5,234,2623
538,2,12,136
539,8,47,639
540,5,39,330
541,9,86,925
542,4,61,836
543,13,78,785
544,4,78,796
545,11,94,1449
546,5,57,689
547,10,243,2698
548,11,65,616
549,4,65,654
550,12,61,822
551,6,35,542
552,7,62,472
553,9,259,2916
554,8,99,1151
555,8,89,780
556,14,160,1758
557,6,99,867
558,13,82,741
559,7,56,501
560,16,124,1114
561,12,113,1473
562,4,149,1636
563,19,268,2658
564,4,27,390
565,4,212,2205
566,9,131,1473
567,11,77,871
568,4,24,216
569,14,76,922
570,14,118,1363
571,4,129,1191
572,11,82,832
573,4,209,1977
574,4,218,2177
575,8,54,591
576,4,204,2099
577,8,222,2339
578,10,75,758
579,20,120,1330
580,3,234,2496
581,18,102,1257
582,6,73,757
583,7,208,2079
584,3,35,704
585,9,118,1363
586,3,89,1051
587,3,28,271
588,7,105,1133
589,5,48,622
590,7,75,697
591,3,43,348
592,7,45,700
593,5,110,1362
594,7,56,433
595,4,119,1570
596,3,13,483
597,9,60,655
598,8,109,1243
599,9,82,1088
600,4,238,2471
601,9,72,938
602,22,106,1390
